OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
335,B2 - Motor Repair,EXCEL AUTO SERVICE INC. O/A COSTA AUTO REPAIRS,1240 MAIN ST E  HAMILTON ON,2022/09/28 00:00:00+00,14 275014 07 1R,Public Garage
336,A - New/Used Vehicle Sales,EXECUCAR SALES & LEASING INC.,257 CENTENNIAL PKWY N  HAMILTON ON,2022/07/03 13:09:04+00,20 297802 01 1R,Public Garage
337,B2 - Motor Repair,EXPRESS AUTO REPAIR & COLLISION,550 RENNIE ST  HAMILTON ON,2022/02/28 00:00:00+00,15 280922 06 1R,Public Garage
338,B3 - Body Shop,EXTREME AUTO BODY,45 LANCING DR  HAMILTON ON,2022/05/13 16:47:54+00,21 298756 00 1R,Public Garage
339,A - New/Used Vehicle Sales,EXTREME ROADSIDE AND RECOVERY,3 DEPEW ST  HAMILTON ON L8L 7H5,2022/06/05 12:34:34+00,19 296240 02 1R,Public Garage
340,B2 - Motor Repair,F A ECONOMY TIRE INC.,237 BARTON ST  STONEY CREEK ON,2022/07/29 17:04:20+00,20 297755 01 1R,Public Garage
341,Multiple Use Garage,FAST & GOOD AUTO LTD.,256 JOHN ST N  HAMILTON ON,2022/10/17 00:00:00+00,14 192181 07 1R,Public Garage
342,B2 - Motor Repair,FELIX AUTOMOTIVE,3705 UPPER JAMES ST  GLANBROOK ON,2022/03/05 00:00:00+00,14 285215 06 1R,Public Garage
343,B2 - Motor Repair,FERN & BILL'S NEIGHBOURHOOD GARAGE,815 UPPER WELLINGTON ST  HAMILTON ON,2022/11/21 00:00:00+00,14 277599 07 1R,Public Garage
344,B2 - Motor Repair,FIRST TRINITY AUTOMOTIVE (STONEY CREEK) INC.,520 BARTON ST  STONEY CREEK ON,2022/07/22 00:00:00+00,15 287650 06 1R,Public Garage
345,B2 - Motor Repair,FLEET PROS INC,800 PARKDALE AVE N  HAMILTON ON,2023/01/17 08:43:58+00,16 291808 05 1R,Public Garage
346,Multiple Use Garage,FLEET PROS INC.,850 6TH CON RD W  FLAMBOROUGH,2022/12/10 00:00:00+00,15 288319 06 1R,Public Garage
347,B2 - Motor Repair,FLEET TECH,151 SWAYZE RD  GLANBROOK ON,2022/02/16 00:00:00+00,15 275385 06 1R,Public Garage
348,B2 - Motor Repair,FLUKE TRANSPORTATION GROUP,450 SHERMAN AVE N  HAMILTON ON,2022/05/23 00:00:00+00,14 282710 07 1R,Public Garage
349,B2 - Motor Repair,FOCUS RIMS & PERFORMANCE SUPPLY,70 NEBO RD  HAMILTON ON,2022/01/28 09:48:18+00,18 294858 02 1R,Public Garage
350,A - New/Used Vehicle Sales,FORMULA A1 AUTO SALES,643 PARKDALE AVE N  HAMILTON ON,2022/08/17 08:17:51+00,21 299373 00 1R,Public Garage
351,A - New/Used Vehicle Sales,FOSTER AUTO GROUP,238 DUNDAS ST E  FLAMBOROUGH ON,2022/12/09 00:00:00+00,14 276546 07 1R,Public Garage
352,Multiple Use Garage,"FOUR WAYS INC, O/A ANCASTER TOYOTA",30 MASON DR  ANCASTER ON,2022/04/24 00:00:00+00,15 275736 06 1R,Public Garage
353,Multiple Use Garage,FRANKIE & JOHNNIES AUTO REPAIR,142 BANCROFT ST  HAMILTON ON,2022/05/01 00:00:00+00,15 124178 07 1R,Public Garage
354,C - Service Station,FRANK'S TIRE SERVICE OF HAMILTON INC,1890 BARTON ST E  HAMILTON ON,2022/03/03 00:00:00+00,15 287351 06 1R,Public Garage
355,A - New/Used Vehicle Sales,FRONTIER MOTORS INC,33 PARKDALE AVE N  HAMILTON ON,2022/03/11 13:09:06+00,16 290784 05 1R,Public Garage
356,Multiple Use Garage,G SANDHU & SONS INC,6 DUNBAR AVE  HAMILTON ON,2022/08/24 15:57:40+00,18 294573 03 1R,Public Garage
357,B2 - Motor Repair,G.T. AUTO SERVICES,430 CONCESSION ST  HAMILTON ON,2022/08/21 15:19:29+00,19 296448 02 1R,Public Garage
358,A - New/Used Vehicle Sales,GC MOTORS,41 PARKDALE AVE S  HAMILTON ON,2022/12/09 00:00:00+00,15 290430 06 1R,Public Garage
359,A - New/Used Vehicle Sales,GG AUTO SALES LTD,259 LAKE AVE N  HAMILTON ON,2022/10/24 16:01:05+00,18 295159 03 1R,Public Garage
360,C - Service Station,GILBERT TIRE SALES & SERVICE  LTD,1019 BARTON ST E  HAMILTON ON,2022/08/08 14:24:19+00,17 292794 04 1R,Public Garage
361,Multiple Use Garage,GLENDALE MOTORS,407 WILSON ST E  ANCASTER ON,2022/05/23 00:00:00+00,14 179434 07 1R,Public Garage
362,B2 - Motor Repair,GLENN'S AUTO & TRUCK SERVICE INC.,29 SUNNYHURST AVE  STONEY CREEK ON,2022/03/27 13:17:22+00,18 295270 02 1R,Public Garage
363,A - New/Used Vehicle Sales,GLOBAL AUTOMART INC.,2289 BARTON ST E  HAMILTON ON,2022/05/27 15:31:02+00,21 299043 00 1R,Public Garage
364,A - New/Used Vehicle Sales,GNV AUTO SALES INC.,1064 HWY 8  STONEY CREEK ON,2022/05/01 00:00:00+00,15 287568 06 1R,Public Garage
365,B2 - Motor Repair,GOOD GATE AUTO SERVICE,64 CANNON ST E  HAMILTON ON L8L 1Z9,2022/05/20 00:00:00+00,14 253675 07 1R,Public Garage
366,Multiple Use Garage,GOOD TO GO TIRE,1154 RYMAL RD E  HAMILTON ON L8W 3N7,2022/06/13 00:00:00+00,14 277190 07 1R,Public Garage
367,A - New/Used Vehicle Sales,GRANT ENTERPRISES INC. O/A ROAD SPORT,338 DEWITT RD  STONEY CREEK ON,2022/10/26 00:00:00+00,15 288167 06 1R,Public Garage
