OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
908,Restaurant,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2022/04/17 00:00:00+00,13 277097 07 1J,Eating Establishment
909,Restaurant,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2022/03/14 00:00:00+00,14 277086 06 1J,Eating Establishment
910,Restaurant Take-Out,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2022/06/28 00:00:00+00,14 277088 07 1J,Eating Establishment
911,Restaurant,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2022/03/16 00:00:00+00,14 277093 06 1J,Eating Establishment
912,Restaurant Take-Out,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2023/01/02 00:00:00+00,19 296615 02 1J,Eating Establishment
913,Restaurant Take-Out,MEER & ANSH INC O/A PAPA JOHNS PIZZA,184 HWY 8  STONEY CREEK ON L8G 1C3,2022/10/16 00:00:00+00,20 298148 01 1J,Eating Establishment
914,Restaurant Take-Out,MEGA SUBS INC,2137 KING ST E  HAMILTON ON,2022/03/30 00:00:00+00,15 287942 05 1J,Eating Establishment
915,Restaurant with Liquor Service,MELT ISLAND INC. O/A MELTWICH FOOD CO,236 KING ST W  HAMILTON ON,2022/08/17 00:00:00+00,21 299206 00 1J,Eating Establishment
916,Restaurant with Liquor Service,MEMPHIS FIRE BARBEQUE COMPANY INC.,1091 HWY 8  STONEY CREEK ON,2022/04/20 00:00:00+00,15 279570 06 1J,Eating Establishment
917,Restaurant with Liquor Service,MERIT BREWING COMPANY INC,107 JAMES ST N  HAMILTON ON L8R 2K6,2022/04/12 00:00:00+00,16 291110 04 1J,Eating Establishment
918,Restaurant with Liquor Service,Merk Snackbar Inc,189 OTTAWA ST N  HAMILTON ON,2022/02/02 00:00:00+00,18 293555 03 1J,Eating Establishment
919,Restaurant with Liquor Service,MESA AUTHENTIC MEXICAN CUISINE,255 JAMES ST N  HAMILTON ON,2022/11/17 00:00:00+00,15 287793 06 1J,Eating Establishment
920,Restaurant with Liquor Service,MI PHO SONG VU INC O/A MI PHO SONG VU 2,1070 STONE CHURCH RD E  HAMILTON ON L8W 3K8,2022/04/21 00:00:00+00,16 290878 05 1J,Eating Establishment
