OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
111,19 295829 02 1K,Food Shop,Butcher,2676169 ONTARIO LIMITED O/A PAVAO MEATS & DELI,675 RYMAL RD E  HAMILTON ON,2022/07/19 00:00:00+00
112,19 295776 02 1K,Food Shop,Basic,2679615 ONTARIO LIMITED O/A FRANK'S NO FRILLS,675 RYMAL RD E  HAMILTON ON,2022/07/19 00:00:00+00
113,21 298720 00 1K,Food Shop,Basic,2684192 ONTARIO INC O/A SAM'S CHEESE & MEAT,35 YORK BLVD  HAMILTON ON,2022/02/12 00:00:00+00
114,14 151129 07 1K,Food Shop,Basic,2690902 ONTARIO INC O/A HAMILTON DAISY MART,181 MAIN ST W  HAMILTON ON L8P 4S1,2022/11/08 00:00:00+00
115,19 296515 02 1K,Food Shop,Basic,2701749 ONTARIO INC. O/A FRESHCO,905 RYMAL RD E  HAMILTON ON L8W 3M2,2022/08/12 00:00:00+00
116,21 299040 00 1K,Food Shop,Basic,2702444 ONTARIO INC O/A THE UDDER WAY ARTISAN CHEESE COMPANY,410 REGIONAL ROAD 20  GLANBROOK ON,2022/12/23 00:00:00+00
117,20 297776 01 1K,Food Shop,Basic,2716795 ONTARIO INC O/A AL QAYSAR,584 UPPER JAMES ST  HAMILTON ON,2022/06/22 00:00:00+00
118,20 297300 01 1K,Food Shop,Basic,2718313 ONTARIO INC O/A HERC'S NUTRITION,1405 UPPER OTTAWA ST  HAMILTON ON L8W 3J6,2022/02/12 00:00:00+00
119,20 297675 01 1K,Food Shop,Basic,2723896 ONTARIO INC O/A EDIBLE ARRANGEMENTS,1400 UPPER JAMES ST  HAMILTON ON,2022/07/08 00:00:00+00
120,20 297370 00 1K,Food Shop,Basic,2730518 ONTARIO INC. O/A BOMBAY SPICES,550 FENNELL AVE E  HAMILTON ON L8V 1T1,2023/01/25 00:00:00+00
121,19 297236 02 1K,Food Shop,Basic,2732589 ONT INC. O/A THE ZOETIC THEATER COMPANY,524 CONCESSION ST  HAMILTON ON L8V 1A6,2023/01/09 00:00:00+00
122,20 297621 01 1K,Food Shop,Basic,2742121 ONTARIO INC O/A BIG BEAR FOOD MART,1003 MOHAWK RD W  HAMILTON ON L9C 7P5,2022/06/26 00:00:00+00
123,20 297646 01 1K,Food Shop,Basic,2746178 ONTARIO INC O/A BIG BEE CONVENIENCE & FOOD MART,535 UPPER WELLINGTON ST  HAMILTON ON,2022/10/27 00:00:00+00
124,20 298525 01 1K,Food Shop,Basic,2747212 ONTARIO INC O/A HEALTHY PLANET  - STONEY CREEK,502 CENTENNIAL PKWY N  HAMILTON ON,2022/12/24 00:00:00+00
125,20 297914 01 1K,Food Shop,Basic,2759282 ONTARIO LIMITED O/A INTERNATIONAL NEWS,640 MOHAWK RD W  HAMILTON ON L9C 1X6,2022/08/20 00:00:00+00
126,21 298689 00 1K,Food Shop,Basic,2768560 ONTARIO INC O/A MRS GREENWAY,2 KING ST W  DUNDAS ON,2022/02/09 00:00:00+00
127,20 298301 00 1K,Food Shop,Basic,2773237 ONTARIO INC O/A BUSY BEE FOOD MART,1190 MAIN ST E  HAMILTON ON L8M 1P5,2022/02/26 00:00:00+00
128,21 299005 00 1K,Food Shop,Basic,2783792 ONTARIO INC.,1460 KING ST E  HAMILTON ON,2022/06/28 00:00:00+00
129,21 298949 00 1K,Food Shop,Basic,2793812 ONTARIO INC O/A GATEWAY HAMILTON,36 HUNTER ST E  HAMILTON ON L8N 3W8,2022/05/17 00:00:00+00
130,21 298585 00 1K,Food Shop,Basic,2795615 ONTARIO INC ,205 MELVIN AVE  HAMILTON ON L8H 7P6,2022/02/02 00:00:00+00
131,21 299113 00 1K,Food Shop,Caterer,280400557 ONTARIO INC. O/A TEA AMO,24 TOULON AVE  ANCASTER ON,2022/07/06 00:00:00+00
132,21 299031 00 1K,Food Shop,Basic,2807704 ONTARIO LTD. O/A BIG BEAR FOOD MART,2 CASTLEWOOD BLVD  DUNDAS ON L9H 7M8,2022/07/09 00:00:00+00
133,21 298950 00 1K,Food Shop,Basic,2818808 ONTARIO INC. O/A BIG BEE FOODMART,212 JOHN ST S  HAMILTON ON L8N 2C8,2022/06/28 00:00:00+00
134,21 299083 00 1K,Food Shop,Basic,2837029 ONTARIO INC O/A WELCOME MART,665 FENNELL AVE E  HAMILTON ON L8V 1V3,2022/10/25 00:00:00+00
135,21 299485 00 1K,Food Shop,Basic,2857427 ONTARIO INC O/A BIG BEE CONVENIENCE & FOOD MART,561 QUEENSTON RD  HAMILTON ON L8K 1J7,2022/10/11 00:00:00+00
136,21 299795 00 1K,Food Shop,Multiple Food Shop,2858082 ONTARIO INC. O/A ROCKTON BERRY FARM,621 HWY 8  FLAMBOROUGH ON,2022/12/08 00:00:00+00
137,21 299644 00 1K,Food Shop,Basic,2867149 ONTARIO INC O/A HOPE'S CONVENIENCE,230 KENILWORTH AVE N  HAMILTON ON L8H 4S2,2022/10/20 00:00:00+00
138,17 292619 03 1K,Food Shop,Basic,4368657 CANADA INC O/A MICKEY MCGUIRE'S CHEESE,2 KING ST W  DUNDAS ON,2022/09/20 00:00:00+00
139,19 296291 02 1K,Food Shop,Basic,5007114 ONTARIO INC O/A BIG BEE FOOD MART ,1150 KING ST E  HAMILTON ON L8M 1E8,2022/07/17 00:00:00+00
140,18 294506 03 1K,Food Shop,Multiple Food Shop,5007176 ONTARIO LTD O/A TAJMAHAL HALAL MEAT AND GROCERIES,77 JAMES ST N  HAMILTON ON L8R 2K3,2022/08/21 00:00:00+00
141,19 295994 02 1K,Food Shop,Basic,5009967 ONTARIO LIMITED O/A FRANCO'S NO FRILLS ,640 QUEENSTON RD  HAMILTON ON L8K 1K2,2022/05/26 00:00:00+00
142,19 296468 01 1K,Food Shop,Basic,5017043 ONTARIO INC O/A HERC'S NUTRITION,1142 WILSON ST W  ANCASTER ON,2022/02/18 00:00:00+00
143,20 297630 01 1K,Food Shop,Basic,5019185 ONTARIO INC O/A HASTY MARKET ,392 CONCESSION ST  HAMILTON ON L9A 1B7,2022/07/09 00:00:00+00
144,20 297718 01 1K,Food Shop,Basic,5025157 ONT. LTD. O/A 365 CONVENIENCE,979 KING ST E  HAMILTON ON,2022/05/07 00:00:00+00
145,20 297308 01 1K,Food Shop,Basic,5025167 ONTARIO LIMITED O/A KENNY & CINDY'S NO FRILLS,930 UPPER PARADISE RD  HAMILTON ON L5H 1B2,2022/03/17 00:00:00+00
146,21 299146 00 1K,Food Shop,Basic,5025303 ONTARIO INC. O/A MILLGROVE COMMUNITY STORE,338 CONCESSION 5 W  FLAMBOROUGH,2022/06/30 00:00:00+00
147,21 299042 00 1K,Food Shop,Caterer,5037606 ONTARIO INC. O/A  SET THE TABLE KITCHEN & CO,1480 SANDHILL DR  ANCASTER ON,2022/06/10 00:00:00+00
148,21 299397 00 1K,Food Shop,Fish Monger,5050530 ONTARIO INC O/A PINBONES FISH MARKET,29 KING ST W  DUNDAS ON,2022/09/02 00:00:00+00
149,14 280398 07 1K,Food Shop,Basic,542299 ONTARIO LIMITED O/A ANGELA'S DELICATESSEN,35 YORK BLVD  HAMILTON ON,2022/09/27 00:00:00+00
150,14 279241 06 1K,Food Shop,Basic,590289 ONTARIO LIMITED O/A CENTRAL VALLEY WINERY,65 MILBURN RD  HAMILTON ON L8E 3A3,2022/02/16 00:00:00+00
151,17 292436 04 1K,Food Shop,Bake Shop,651233 ONTARIO INC O/A SWEET PARADISE BAKERY,419 DUNDAS ST E  FLAMBOROUGH ON L0R 2H1,2022/06/28 00:00:00+00
152,14 276531 07 1K,Food Shop,Basic,6854231 CANADA INC O/A FENNELL CONVENIENCE,1119 FENNELL AVE E  HAMILTON ON L8T 1S2,2022/12/05 00:00:00+00
153,14 255863 07 1K,Food Shop,Basic,7 DAYS VARIETY,191 WILSON ST  HAMILTON ON L8R 1E3,2022/06/14 00:00:00+00
154,14 284265 08 1K,Food Shop,Basic,8301174 CANADA INC,61 SHERMAN AVE N  HAMILTON ON L8L 6M3,2022/05/14 00:00:00+00
155,14 285668 07 1K,Food Shop,Basic,8702888 CANADA INC. O/A HASTY MARKET,732 QUEENSTON RD  HAMILTON ON L8G 1A,2023/01/17 00:00:00+00
156,14 286903 07 1K,Food Shop,Basic,8906190 CANADA INC. O/A NEW YORK NEWS,2 KING ST W  HAMILTON ON,2022/10/20 00:00:00+00
157,19 297208 02 1K,Food Shop,Basic,9295356 CANADA LTD. O/A TOLTON FOOD MARKET,125 TOLTON AVE  HAMILTON ON L8H 5N9,2023/01/21 00:00:00+00
158,20 297704 01 1K,Food Shop,Basic,952596 ONTARIO LTD. O/A MAC'S CONVENIENCE,32 YORK RD  DUNDAS ON L9H 1L4,2022/05/01 00:00:00+00
159,19 296572 02 1K,Food Shop,Basic,9726608 CANADA INC O/A 77BUY CONVENIENCE STORE,172 KING ST W  HAMILTON ON,2022/09/05 00:00:00+00
160,14 280894 06 1K,Food Shop,Basic,A & J SUGAR BOWL,124 MACNAB ST N  HAMILTON ON,2022/02/03 00:00:00+00
161,21 299198 00 1K,Food Shop,Caterer,A ONE TIFFIN SERVICES INC. ,384 BARTON ST  STONEY CREEK ON,2022/08/19 00:00:00+00
162,15 283991 06 1K,Food Shop,Basic,A. LOCOCO WHOLESALE LTD. O/A LOCOCO'S,400 NEBO RD  HAMILTON ON,2022/02/12 00:00:00+00
163,21 299381 00 1K,Food Shop,Caterer,ACCESS GOURMET,2 KING ST W  HAMILTON ON,2022/09/02 00:00:00+00
164,18 294531 03 1K,Food Shop,Basic,ACROSS THE POND BRITISH IMPORTS,128 PARKDALE AVE N  HAMILTON ON L8H 5X2,2022/08/08 00:00:00+00
165,14 282648 06 1K,Food Shop,Basic,AFROCAN FOOD MARKET INC,454 KING ST E  HAMILTON ON,2022/04/13 00:00:00+00
166,17 292652 04 1K,Food Shop,Basic,Ahmed Samy Pharmacy Ltd. o/a SAMY'S DRUG MART,847 BARTON ST E  HAMILTON ON,2022/11/14 00:00:00+00
167,16 197843 07 1K,Food Shop,Multiple Food Shop,AL NAVEED GROCERY & HALAL MEAT,214 BARTON ST  STONEY CREEK ON,2022/10/18 00:00:00+00
168,19 297151 02 1K,Food Shop,Basic,ALAMIN GROCERY AND HALAL MEAT LTD.,870 UPPER JAMES ST  HAMILTON ON,2022/12/04 00:00:00+00
169,14 245270 07 1K,Food Shop,Basic,ALI & ADAM HOLDINGS LTD. O/A BIG BEE CONVENIENCE,447 CONCESSION ST  HAMILTON ON L9A 1C1,2022/11/20 00:00:00+00
170,15 123681 07 1K,Food Shop,Butcher,ALVES MEATS (1520923 ONTARIO INC.),157 MACNAB ST N  HAMILTON ON L8R 2M2,2022/04/23 00:00:00+00
171,15 287821 06 1K,Food Shop,Bake Shop,ANCASTER HOSPITALITY CO. LTD. O/A CANICHE FRENCH BAKERY,346 WILSON ST E  ANCASTER ON,2022/08/20 00:00:00+00
172,21 298876 00 1K,Food Shop,Basic,ANCASTER ICE CREAM PARLOUR,29 ORCHARD DR  ANCASTER ON,2022/04/13 00:00:00+00
173,16 129739 06 1K,Food Shop,Basic,ANGEL VARIETY LIMITED,98 BURLINGTON ST E  HAMILTON ON L8L 4G8,2022/02/26 00:00:00+00
174,18 293987 03 1K,Food Shop,Caterer,ANGELES CAKES,73 LAURENDALE AVE  FLAMBOROUGH,2022/11/22 00:00:00+00
175,15 290307 06 1K,Food Shop,Caterer,AREPAS EL MANA,1093 FENNELL AVE E  HAMILTON ON,2022/12/10 00:00:00+00
176,20 298343 00 1K,Food Shop,Caterer,ASHLEY'S SWEETS & TREATS,22 FAIRGROUNDS DR  GLANBROOK ON,2022/03/02 00:00:00+00
177,14 178517 07 1K,Food Shop,Basic,AVONDALE STORE LTD,12 GARNER RD W  ANCASTER ON L9G 2J8,2022/04/10 00:00:00+00
178,14 170796 07 1K,Food Shop,Basic,AVONDALE STORES LIMITED,301 FRUITLAND RD  STONEY CREEK ON L8E 5M1,2022/11/01 00:00:00+00
179,14 228840 07 1K,Food Shop,Basic,AVONDALE STORES LIMITED,49 KING ST E  DUNDAS ON L9H 1B7,2022/06/07 00:00:00+00
180,14 246002 06 1K,Food Shop,Basic,AVONDALE STORES LIMITED,2200 RYMAL RD E  GLANBROOK ON,2022/03/05 00:00:00+00
181,15 123785 07 1K,Food Shop,Basic,AVONDALE STORES LIMITED,2327 KING ST E  HAMILTON ON L8K 1X6,2022/10/29 00:00:00+00
182,15 123822 07 1K,Food Shop,Basic,AVONDALE STORES LIMITED,399 GREENHILL AVE  HAMILTON ON L8K 5E5,2022/10/29 00:00:00+00
183,15 123924 07 1K,Food Shop,Basic,AVONDALE STORES LIMITED,205 QUIGLEY RD  HAMILTON ON L8K 5M8,2022/10/29 00:00:00+00
184,16 197393 07 1K,Food Shop,Basic,AVONDALE STORES LIMITED,184 HIGHWAY NO. 8 UNIT 4 STONEY CREEK ON,2022/08/23 00:00:00+00
185,16 197396 07 1K,Food Shop,Basic,AVONDALE STORES LIMITED,570 HWY 8  STONEY CREEK ON,2022/05/12 00:00:00+00
186,16 197398 07 1K,Food Shop,Basic,AVONDALE STORES LIMITED,1050 PARAMOUNT DR 12 STONEY CREEK ON L8J 1P8,2022/10/04 00:00:00+00
187,21 298612 00 1K,Food Shop,Caterer,AZUCAR BY ILEANA,80 RILEY ST  FLAMBOROUGH ON,2022/04/07 00:00:00+00
188,20 297258 02 1K,Food Shop,Basic,B & D HOLDINGS LTD.,483 HWY 8  STONEY CREEK ON L8G 5B9,2023/01/13 00:00:00+00
189,14 284936 07 1K,Food Shop,Basic,B NAGRA DRUGS LTD O/A SHOPPERS DRUG MART,1300 GARTH ST  HAMILTON ON L9C 4L7,2022/08/16 00:00:00+00
190,18 293758 03 1K,Food Shop,Bake Shop,BAINHAM INCORPORATED O/A COBS BREAD,94 DUNDAS ST E  FLAMBOROUGH ON,2022/06/19 00:00:00+00
191,21 298851 00 1K,Food Shop,Basic,BARTON LETTUCE,335 BARTON ST E  HAMILTON ON,2022/04/29 00:00:00+00
192,16 290756 05 1K,Food Shop,Basic,BARTON VARIETY,315 BARTON ST E  HAMILTON ON L8L 2X6,2022/04/27 00:00:00+00
193,18 295297 03 1K,Food Shop,Basic,BED BATH & BEYOND L.P. O/A BED BATH & BEYOND,1783 STONE CHURCH RD E 3 STONEY CREEK ON,2022/11/29 00:00:00+00
194,15 290316 05 1K,Food Shop,Caterer,BEE'Z SMOOTHEEZ,255 CELTIC DR  STONEY CREEK ON,2022/02/08 00:00:00+00
195,14 281894 06 1K,Food Shop,Basic,BELGAL TUCKSHOP VARIETY,60 JEROME CRES  HAMILTON ON L8E 3G9,2022/04/24 00:00:00+00
196,14 178477 07 1K,Food Shop,Bake Shop,BENNETT'S APPLES & CIDER LTD,944 GARNER RD E  ANCASTER ON,2022/12/06 00:00:00+00
197,16 123936 06 1K,Food Shop,Basic,BEST BUY VARIETY,665 FENNELL AVE E  HAMILTON ON L8V 1V3,2022/02/21 00:00:00+00
198,14 283306 07 1K,Food Shop,Basic,BETTY KURIAN DRUGS LTD O/A PEOPLE'S PHARMA CHOICE,30 RYMAL RD E  HAMILTON ON L9B 1T7,2022/08/17 00:00:00+00
199,14 281810 07 1K,Food Shop,Basic,BIG BEE CONVENIENCE,1528 BARTON ST E  HAMILTON ON,2022/08/23 00:00:00+00
200,15 279411 06 1K,Food Shop,Basic,BIG BEE CONVENIENCE,350 KING ST E  HAMILTON ON L8N 1C2,2022/02/16 00:00:00+00
201,14 155919 07 1K,Food Shop,Basic,BIG BEE FOOD MART,800 BARTON ST E  HAMILTON ON L8L 2Z7,2022/11/23 00:00:00+00
202,21 299786 00 1K,Food Shop,Multiple Food Shop,BIKEABLE INC. O/A STRATHCONA MARKET,460 YORK BLVD  HAMILTON ON L8R 3J8,2022/11/29 00:00:00+00
203,15 279580 06 1K,Food Shop,Basic,BLACKBERRY HILL FARM,35 YORK BLVD  HAMILTON ON,2022/02/03 00:00:00+00
204,14 282094 07 1K,Food Shop,Basic,BLAIR'S VARIETY,292 KING ST W  DUNDAS ON L9H 1W4,2022/11/12 00:00:00+00
205,16 291165 05 1K,Food Shop,Caterer,BLEND CATERING,811 KING ST E  HAMILTON ON L8M 1B1,2022/06/14 00:00:00+00
206,14 287106 07 1K,Food Shop,Basic,BO SUNG HERBS & HEALTH FOOD SHOP,277 KING ST E  HAMILTON ON,2023/01/05 00:00:00+00
207,21 298893 00 1K,Food Shop,Bake Shop,BOA BAKERY INC,3200 REGIONAL ROAD 56  GLANBROOK ON,2022/04/02 00:00:00+00
208,14 280732 06 1K,Food Shop,Basic,BRENPAT INC. O/A SHOPPERS DRUG MART #1487,3027 BINBROOK RD W  B GLANBROOK ON,2022/03/01 00:00:00+00
209,15 279467 06 1K,Food Shop,Basic,BRITISH BAKED GOODS,35 YORK BLVD  HAMILTON ON,2022/02/04 00:00:00+00
210,19 296819 02 1K,Food Shop,Basic,BULK BARN,659 UPPER JAMES ST  E HAMILTON ON,2022/11/07 00:00:00+00
211,19 296873 02 1K,Food Shop,Basic,BULK BARN,1360 SOUTH SERVICE RD  STONEY CREEK ON,2022/11/28 00:00:00+00
212,20 298017 01 1K,Food Shop,Basic,BULK BARN,18 HAMILTON ST N  FLAMBOROUGH ON,2022/08/27 00:00:00+00
213,16 290862 05 1K,Food Shop,Basic,BULK BARN FOODS LIMITED,1400 UPPER JAMES ST  HAMILTON ON,2022/04/27 00:00:00+00
214,16 291112 05 1K,Food Shop,Basic,BULK BARN FOODS LIMITED,800 QUEENSTON RD  STONEY CREEK ON L8G 1A7,2022/06/07 00:00:00+00
215,17 292323 04 1K,Food Shop,Basic,BULK BARN FOODS LIMITED,101 OSLER DR  DUNDAS ON,2022/05/02 00:00:00+00
216,17 293311 04 1K,Food Shop,Basic,BULK BARN FOODS LIMITED,270 MUD ST W F STONEY CREEK ON,2022/12/18 00:00:00+00
217,14 281160 07 1K,Food Shop,Basic,BUSY BEE FOOD MART,524 BARTON ST E  HAMILTON ON L8L 2Y8,2022/05/25 00:00:00+00
218,14 278342 07 1K,Food Shop,Basic,BUSY BEE MART,83 WALNUT ST S  HAMILTON ON L8N 2L2,2022/05/12 00:00:00+00
219,19 295721 02 1K,Food Shop,Basic,C.E. ELLIOTT AND SONS LIMITED,268 SHERMAN AVE N  HAMILTON ON,2022/02/22 00:00:00+00
220,14 281448 07 1K,Food Shop,Bake Shop,CAKE AND LOAF BAKERY LTD,212 HOMEWOOD AVE  HAMILTON ON L8P 2M5,2022/09/22 00:00:00+00
221,19 296601 02 1K,Food Shop,Caterer,CAKE BOUTIQUE,24 CHELSEA CRES  STONEY CREEK ON,2022/11/19 00:00:00+00
222,20 297732 01 1K,Food Shop,Bake Shop,CAKE EMPIRE INC.,70 KING ST E  STONEY CREEK ON,2022/05/14 00:00:00+00
223,14 283956 07 1K,Food Shop,Caterer,CAKES FOR ALL OCCASIONS BY MARGARET CARVALHO,152 OAKLAND DR  HAMILTON ON,2022/04/09 00:00:00+00
224,21 299088 00 1K,Food Shop,Basic,CANDICO WEST INC O/A FRESHCO,869 BARTON ST E  HAMILTON ON L8L 3B4,2022/05/20 00:00:00+00
225,20 298524 00 1K,Food Shop,Caterer,CANOKIE FOODS,2 KING ST W  HAMILTON ON,2022/02/01 00:00:00+00
226,14 280202 07 1K,Food Shop,Bake Shop,CARLISLE BAKERY PLUS,1467 CENTRE RD  FLAMBOROUGH ON L8N 2Z7,2022/08/24 00:00:00+00
227,14 235697 07 1K,Food Shop,Basic,CARLISLE FARM MARKET,1467 CENTRE RD  FLAMBOROUGH ON L8N 2Z7,2022/12/03 00:00:00+00
228,14 278627 07 1K,Food Shop,Basic,CARLISLE VILLAGE STORE,1470 CENTRE RD  FLAMBOROUGH ON L8N 2Z7,2022/07/14 00:00:00+00
229,15 177186 06 1K,Food Shop,Bake Shop,CARLUKE ORCHARDS INC.,2194 SHAVER RD  ANCASTER ON,2022/03/15 00:00:00+00
230,14 281986 07 1K,Food Shop,Caterer,CATERIN BY LUIGI,125 LANCING DR 2 HAMILTON ON,2022/11/24 00:00:00+00
231,17 292411 04 1K,Food Shop,Basic,CENTENNIAL BIG BEAR 3,160 CENTENNIAL PKWY N  HAMILTON ON,2022/07/14 00:00:00+00
232,15 286016 06 1K,Food Shop,Basic,CG CONVENIENCE STORE INC O/A NEW YORK NEWS CAFE LTD,2 KING ST W  HAMILTON ON,2022/03/21 00:00:00+00
233,15 279456 06 1K,Food Shop,Basic,CHARLIE'S CORNER PRODUCE MARKET,35 YORK BLVD  HAMILTON ON,2022/02/05 00:00:00+00
234,18 293809 03 1K,Food Shop,Bake Shop,CHRSTINE'S GOODIES,1351 MAIN ST E  HAMILTON ON,2022/04/10 00:00:00+00
235,21 299033 00 1K,Food Shop,Basic,COMPLEMENTARY FINANCIAL INC. O/A LYNDEN GENERAL STORE,128 LYNDEN RD  FLAMBOROUGH ON L9H 4J9,2022/06/28 00:00:00+00
236,20 297820 01 1K,Food Shop,Basic,COPETOWN GENERAL STORE,2012 GOVERNOR'S RD  ANCASTER ON,2022/09/14 00:00:00+00
237,14 280568 07 1K,Food Shop,Basic,COUNTRY GREEN GARDEN,55 YORK BLVD  HAMILTON ON,2022/10/22 00:00:00+00
238,15 175202 07 1K,Food Shop,Butcher,COUNTRY MEAT PACKING LTD,1188 HWY 8  FLAMBOROUGH ON,2022/08/23 00:00:00+00
239,14 286988 07 1K,Food Shop,Basic,CRAZY BILL'S GIFT & NOVELTIES INC,1093 FENNELL AVE E  HAMILTON ON,2023/01/14 00:00:00+00
240,15 276927 06 1K,Food Shop,Basic,DADAJI INC. O/A KING CONVENIENCE AND FOOD MART,48 KING ST W  STONEY CREEK ON,2022/04/16 00:00:00+00
241,19 296493 02 1K,Food Shop,Caterer,DARLING DONUTS,87 FAIRGROUNDS DR  GLANBROOK ON,2022/10/25 00:00:00+00
242,14 243167 07 1K,Food Shop,Basic,DAVID'S VARIETY,950 BARTON ST E  HAMILTON ON L8L 3C5,2022/11/10 00:00:00+00
243,20 298419 01 1K,Food Shop,Basic,DAWSON'S HOT SAUCE,433 BARTON ST E  HAMILTON ON,2022/12/04 00:00:00+00
244,14 281137 07 1K,Food Shop,Bake Shop,DE LA TERRE CAFE & BAKERY,35 YORK BLVD  HAMILTON ON,2022/06/16 00:00:00+00
245,21 299489 00 1K,Food Shop,Basic,DEBBY COSTA PHARMACY LTD O/A SHOPPERS DRUG MART,1 KING ST E  STONEY CREEK ON,2022/09/16 00:00:00+00
246,14 274868 07 1K,Food Shop,Basic,DECOLORES GROCERY,100 MAIN ST E  HAMILTON ON L8N 1G3,2022/08/16 00:00:00+00
247,14 276252 07 1K,Food Shop,Basic,DEEPRIT HOLDINGS LTD O/A BIG BEE CONVENIENCE & FOOD MART,1014 BARTON ST E  HAMILTON ON L8L 3E1,2022/10/16 00:00:00+00
248,21 299127 00 1K,Food Shop,Basic,DG-MED HOLDING INC O/A CANADIAN TIRE # 177,821 GOLF LINKS RD  ANCASTER ON,2022/07/06 00:00:00+00
249,14 285133 07 1K,Food Shop,Basic,DISCOUNT VARIETY (BIG BONUS),667 KING ST E  HAMILTON ON L8N 1E5,2022/09/13 00:00:00+00
250,21 298805 00 1K,Food Shop,Basic,DOLLAR CENTRAL,490 JAMES ST N  HAMILTON ON L8L 1J1,2022/04/21 00:00:00+00
251,15 287528 06 1K,Food Shop,Basic,DOLLAR CHOICE DISCOUNT STORE,1565 BARTON ST E  HAMILTON ON L8H 2X7,2022/04/20 00:00:00+00
252,18 295092 02 1K,Food Shop,Basic,DOLLAR GATE INC,149 BARTON ST E  HAMILTON ON,2022/07/04 00:00:00+00
253,14 283807 06 1K,Food Shop,Basic,DOLLAR STORE OUTLET,77 JAMES ST N  HAMILTON ON L8R 2K3,2022/02/25 00:00:00+00
254,14 286958 07 1K,Food Shop,Basic,DOLLAR TREE STORES CANADA INC. O.A DOLLAR TREE,1070 STONE CHURCH RD E  HAMILTON ON L8W 3K8,2022/12/22 00:00:00+00
255,14 286957 07 1K,Food Shop,Basic,DOLLAR TREE STORES CANADA INC. O/A DOLLAR TREE,94 DUNDAS ST E  FLAMBOROUGH ON,2022/12/17 00:00:00+00
256,18 294493 03 1K,Food Shop,Basic,DOLLAR TREE STORES CANADA INC. O/A DOLLAR TREE,502 CENTENNIAL PKWY N  HAMILTON ON,2022/08/14 00:00:00+00
257,14 275225 07 1K,Food Shop,Basic,DOLLARAMA L.P.,2 KING ST W  HAMILTON ON,2022/11/17 00:00:00+00
258,14 277071 07 1K,Food Shop,Basic,DOLLARAMA L.P.,101 OSLER DR  DUNDAS ON,2022/06/17 00:00:00+00
259,14 277073 07 1K,Food Shop,Basic,DOLLARAMA L.P.,16 WILSON ST W  ANCASTER ON L9G 1N2,2022/06/17 00:00:00+00
260,14 277074 07 1K,Food Shop,Basic,DOLLARAMA L.P.,998 UPPER WENTWORTH ST  HAMILTON ON,2022/06/17 00:00:00+00
261,14 277075 07 1K,Food Shop,Basic,DOLLARAMA L.P.,640 MOHAWK RD W  HAMILTON ON L9C 1X6,2022/06/17 00:00:00+00
262,14 277159 07 1K,Food Shop,Basic,DOLLARAMA L.P.,1508 UPPER JAMES ST  HAMILTON ON,2022/06/18 00:00:00+00
263,14 277161 07 1K,Food Shop,Basic,DOLLARAMA L.P.,1015 GOLF LINKS RD  ANCASTER ON L9K 1L6,2022/06/17 00:00:00+00
264,14 286608 07 1K,Food Shop,Basic,DOLLARAMA L.P.,157 MAIN ST E  HAMILTON ON,2022/12/15 00:00:00+00
265,16 290654 05 1K,Food Shop,Basic,DOLLARAMA L.P.,601 UPPER GAGE AVE  HAMILTON ON L8V 4J7,2022/02/17 00:00:00+00
266,14 282395 06 1K,Food Shop,Basic,DOLLARAMA LP,1267 BARTON ST E  HAMILTON ON L8H 2V4,2022/03/20 00:00:00+00
267,18 294792 03 1K,Food Shop,Basic,DOLLARAMA LP,905 RYMAL RD E  HAMILTON ON L8W 3M2,2022/09/13 00:00:00+00
268,18 294793 03 1K,Food Shop,Basic,DOLLARAMA LP,2273 RYMAL RD 2-5 STONEY CREEK ON,2022/09/11 00:00:00+00
269,18 294794 03 1K,Food Shop,Basic,DOLLARAMA LP,869 BARTON ST E  HAMILTON ON L8L 3B4,2022/09/13 00:00:00+00
270,18 294795 03 1K,Food Shop,Basic,DOLLARAMA LP,1550 UPPER JAMES ST  HAMILTON ON L9B 1K3,2022/10/05 00:00:00+00
271,18 294796 02 1K,Food Shop,Basic,DOLLARAMA LP,75 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,2022/02/08 00:00:00+00
272,18 294797 03 1K,Food Shop,Basic,DOLLARAMA LP,86 MAIN ST  DUNDAS ON L9H 2R1,2022/09/13 00:00:00+00
273,18 294798 03 1K,Food Shop,Basic,DOLLARAMA LP,700 QUEENSTON RD  HAMILTON ON L8G 1A3,2022/09/13 00:00:00+00
274,18 294799 03 1K,Food Shop,Basic,DOLLARAMA LP,50 HORSESHOE CRES  FLAMBOROUGH ON,2022/09/13 00:00:00+00
275,19 296519 02 1K,Food Shop,Basic,DOLLARAMA LP,447 MAIN ST E  HAMILTON ON L8N 1K1,2022/07/30 00:00:00+00
276,19 296574 02 1K,Food Shop,Basic,DOLLARAMA LP,1124 MAIN ST E  HAMILTON ON L8M 1N9,2022/08/28 00:00:00+00
277,19 296707 02 1K,Food Shop,Basic,DOLLARAMA LP,102 HWY 8  STONEY CREEK ON L8G 4H3,2022/09/17 00:00:00+00
278,19 297098 02 1K,Food Shop,Basic,DOLLARAMA LP,651 UPPER JAMES ST B1 HAMILTON ON,2022/11/22 00:00:00+00
