OBJECTID,Fax_Number,City,Province,Geo_X,Geo_Y,Business_Id,Business_Name,Site_Postal_Code,Created_Date,Updated_Date,NAICSCode,NAICSCode_Desc,Telephone_Number,Web_Address,Mailing_Address1,Mailing_Address2,Mailing_City,Mailing_Province,Mailing_Country,Mailing_Postal_Code,Unit_Number,Business_Description,Street_Number,Street_Name,Street_Type,Street_Direction,Municipality,geometry,lon,lat
36589,,Oshawa,Ontario,669095.83,4861982.66,237236,Lakeridge Health - Oshawa,L1J8N5,2019-05-09,,621110.0,Offices of physicians,9055768711,,,,,,,,,National Eating Disorder Information Centre (NEDIC).,850,King,Street,West,Oshawa,POINT (-78.89474226599829 43.89155520831541),-78.89474226599829,43.89155520831541
36590,,Oshawa,Ontario,669644.56,4860088.23,4625,Lakeridge Health - Oshawa Corporate Office,L1J8R2,2019-05-09,,551114.0,Head offices,9055768711,,,,,,,L1J8R2,,Corporate office.,850,Champlain,Avenue,,Oshawa,POINT (-78.88851749420844 43.8743838991375),-78.88851749420844,43.8743838991375
36591,,Port Perry,Ontario,663711.71,4885526.21,100102,Lakeridge Health - Port Perry Hospital,L9L1L9,2019-05-09,,622111.0,General (except paediatric) hospitals,9059857321,www.lakeridgehealth.on.ca,,,,,,L9L1L9,,Hospital.,451,Paxton,Street,,Scugog,POINT (-78.95446444392755 44.104610139319675),-78.95446444392755,44.104610139319675
36592,9054347716,Whitby,Ontario,667858.47,4861210.19,10647,Lakeridge Health - Whitby,L1N2L1,2019-05-09,2019-05-30,621420.0,Out-patient mental health and substance abuse centres,9055768711,www.lakeridgehealth.on.ca,,,,,,,214,Community-based mental health program. Satellite office.,1615,Dundas,Street,East,Whitby,POINT (-78.91038045813615 43.88488747228708),-78.91038045813615,43.88488747228708
36593,,Whitby,Ontario,665210.77,4857933.46,11049,Lakeridge Health - Whitby Acute Hospital,L1N5T2,2019-05-09,,622111.0,General (except paediatric) hospitals,9055768711,lakeridgehealth.on.ca,,,,,,L1N5T2,,Health care facilitity - now acute hospital,300,Gordon,Street,,Whitby,POINT (-78.94433381085167 43.85600158572294),-78.94433381085167,43.85600158572294
36594,,Ajax,Ontario,659414.96,4855667.63,100039,Lakeridge Health - Ajax,L1S2J4,2019-05-09,,622111.0,General (except paediatric) hospitals,9056832320,www.rougevalley.ca,,,,,,L1S2J4,,Hospital.,580,Harwood,Avenue,South,Ajax,POINT (-79.01708165356483 43.83688709760987),-79.01708165356483,43.83688709760987
36595,,Uxbridge,Ontario,650687.19,4885861.07,534700,Preston Gallery,L9P1P5,2019-05-09,2019-08-22,453920.0,Art dealers,9055508825,prestongallery.com,,,,,,,,Fine art gallery/ photography studio focusing on showcasing original canadian art works in all mediums. Framing as well.,77,Brock,Street,West,Uxbridge,POINT (-79.11701605182185 44.110420821169846),-79.11701605182185,44.110420821169846
36596,,Nestleton Station,Ontario,678570.56,4892091.31,101285,Yellowlees Family Farm,L0B1L0,2019-05-09,2019-08-22,111419.0,Other food crops grown under cover,9059860657,,,,,,,L0B1L0,,"Grow and sell lamb, pork, as well as bird seed.",4441,Malcolm,Road,,Scugog,POINT (-78.76671489791491 44.1601988778124),-78.76671489791491,44.1601988778124
36597,,Whitby,Ontario,666795.19,4861056.96,294296,Durham Escape Rooms,L1N2K5,2019-05-09,2019-08-22,713991.0,"Sports clubs, teams and leagues performing before a non-paying audience",9054305625,www.durhamescaperooms.com,,,,,,,B9,"Escape Rooms are a physical adventure game in which people are locked in a room with friends or a team and have to use teamwork, logic, and elements of the room to solve a series of puzzles, find clues, and escape the room within a set time limit.",1121,Dundas,Street,East,Whitby,POINT (-78.92365620859405 43.88374996666637),-78.92365620859405,43.88374996666637
36598,9054040200,Oshawa,Ontario,672048.87,4863664.57,232975,Trendy Cabinetry,L1G1Z7,2019-05-09,2019-08-22,337110.0,Wood kitchen cabinet and counter top manufacturing,9054040100,www.trendycabinetry.ca,,,,,,,,"Ready-to-Assemble and Custom kitchen cabinets, fireplace, closet, vanity, wall unit, quartz and granite countertops.",238,Ritson,Road,North,Oshawa,POINT (-78.85745900042492 43.90600489264994),-78.85745900042492,43.90600489264994
36599,,Ajax,Ontario,659183.74,4860708.44,296162,Academy for Mathematics & English,L1Z0K4,2019-05-09,2019-08-28,611710.0,Educational support services,9054272263,,,,,,,,5,"Tutoring Services for Math, Science and English up to Grade 12.",300,Rossland,Road,East,Ajax,POINT (-79.01845377161717 43.88229590853145),-79.01845377161717,43.88229590853145
36600,,Pickering,Ontario,650980.63,4854759.62,8746,Whites Road Animal Hospital,L1V4M1,2019-05-09,2019-08-22,541940.0,Veterinary services,9058318636,https://whitesroadvet.com/,,,,,,L1V4M1,16,Veterinary clinic.,1822,Whites,Road,,Pickering,POINT (-79.12219319429 43.830487949251214),-79.12219319429,43.830487949251214
36601,,Ajax,Ontario,658875.97,4854933.14,468114,Dr. Janet Mendonca Dermatology,L1S7G1,2019-05-09,2019-08-22,621110.0,Offices of physicians,9052395556,,,,,,,,30,Dermatology Practice,785,Westney,Road,South,Ajax,POINT (-79.02400024254243 43.83039396594595),-79.02400024254243,43.83039396594595
36602,,Beaverton,Ontario,647165.75,4921491.67,2696,United Pentecostal Church Victory Tabernacle,L0K1A0,2019-05-09,2019-08-22,813110.0,Religious organizations,7054262610,,,,,,,L0K1A0,,Christian Penecostal Church,421,Main,Street,,Brock,POINT (-79.15096845999767 44.431756310008915),-79.15096845999767,44.431756310008915
36603,,Oshawa,Ontario,671626.35,4862657.19,550992,Durham Recruiting,L1H4G1,2019-05-09,2019-08-30,561310.0,Employment placement agencies and executive search services,9055792950,www.durhamrecruiting.ca,,,,,,,,Job recruitment services,21,Simcoe,Street,South,Oshawa,POINT (-78.8630414384163 43.89703960669984),-78.8630414384163,43.89703960669984
36604,9056685933,Whitby,Ontario,665212.531,4860084.825,10351,Whitby Centennial Building,L1N4W2,2019-05-10,,912910.0,Other provincial and territorial public administration,9056685371,whitby.ca,,,,,,L1N4W2,,Community centre.,416,Centre,Street,South,Whitby,POINT (-78.94364628205618 43.87535900091935),-78.94364628205618,43.87535900091935
36605,,Whitby,Ontario,665528.49,4858566.21,100683,Station Gallery,L1N0A8,2019-05-10,,453920.0,Art dealers,9056684185,,,,,,,L1N0A8,,Art gallery.,1450,Henry,Street,,Whitby,POINT (-78.9401869621142 43.861623847243536),-78.9401869621142,43.861623847243536
36606,9056682621,Whitby,Ontario,665155.81,4862565.51,11258,Corporation of the Town of Whitby,L1N2M8,2019-05-10,,913910.0,"Other local, municipal and regional public administration",9054304300,www.whitby.ca,,,,,,L1N2M8,,Government office.,575,Rossland,Road,East,Whitby,POINT (-78.94358373841474 43.89769262235112),-78.94358373841474,43.89769262235112
36607,,Whitby,Ontario,664994.8,4862565.73,11256,Whitby Civic Recreation Complex,L1N2M8,2019-05-10,,713940.0,Fitness and recreational sports centres,9056661991,www.whitby.ca,,,,,,L1N2M8,,Government recreation facility.,555,Rossland,Road,East,Whitby,POINT (-78.94558719198182 43.897730654377625),-78.94558719198182,43.897730654377625
36608,9056552508,Brooklin,Ontario,663403.45,4869182.68,3604,Brooklin Community Centre & Library,L1M1B3,2019-05-10,,713940.0,Fitness and recreational sports centres,9056552010,whitby.ca,,,,,,L1M1B3,,Municipal community centre and library.,8,Vipond,Road,,Whitby,POINT (-78.96335791241805 43.95762398524217),-78.96335791241805,43.95762398524217
36609,9056685933,Whitby,Ontario,666366.76,4858949.1,11580,Town Of Whitby - Iroquois Park Sports Centre,L1N9G4,2019-05-10,,713940.0,Fitness and recreational sports centres,9056687765,www.whitby.ca,,,,,,L1N9G4,,"Provides the largest Municipally owned & operated recreation facility in Canada to the residents of the Town of Whitby and surrounding municipalities.  Offering 6 arenas, including a large stadium area and 2 swimming pools.",500,Victoria,Street,East,Whitby,POINT (-78.92964307757038 43.86488057563154),-78.92964307757038,43.86488057563154
36610,,Brooklin,Ontario,664117.51,4868841.33,101646,Luther Vipond Memorial Arena,L1M1B4,2019-05-10,,713940.0,Fitness and recreational sports centres,9056555471,,,,,,,L1M1B4,,Hockey/lacrosse arena.,67,Winchester,Road,East,Whitby,POINT (-78.95456894739812 43.95439362863196),-78.95456894739812,43.95439362863196
36611,9056552206,Whitby,Ontario,664156.8,4865107.16,11211,Mckinney Centre,L1R3M3,2019-05-10,,713940.0,Fitness and recreational sports centres,9056552203,www.whitby.ca,,,,,,L1R3M3,,Twin pad public arena.,222,McKinney,Drive,,Whitby,POINT (-78.95523181533581 43.92078530210613),-78.95523181533581,43.92078530210613
36612,9056680460,Whitby,Ontario,665624.631,4859778.97,10247,Whitby Seniors Services,L1N4L4,2019-05-10,,624190.0,Other individual and family services,9056681424,www.whitby.ca,,,,,,L1N4L4,,Offer social & recreation programs and services for citizens 55 years of age and older.,801,Brock,Street,South,Whitby,POINT (-78.93861517160055 43.87251456037355),-78.93861517160055,43.87251456037355
36613,9056687445,Whitby,Ontario,665001.54,4860410.2,10844,Whitby Public Library,L1N6A1,2019-05-10,,519121.0,Libraries,9056686531,www.whitbylibrary.on.ca,,,,,,,,Public library- Whitby Central branch.,405,Dundas,Street,West,Whitby,POINT (-78.94617016005525 43.87833391382038),-78.94617016005525,43.87833391382038
36614,,Whitby,Ontario,665534.87,4862785.96,102179,Whitby Public Library- Rossland Branch,L1N8Y9,2019-05-10,,519121.0,Libraries,9056687445,,,,,,,,,Public library for the Town of Whitby- Rossland branch.,701,Rossland,Road,East,Whitby,POINT (-78.9387984785121 43.89959118016333),-78.9387984785121,43.89959118016333
36615,,Whitby,Ontario,665001.54,4860410.2,174461,Whitby Archives,L1N6A1,2019-05-10,,519120.0,Libraries and Archives,9056686531,,,,,,,,,Whitby archives- Central branch.,405,Dundas,Street,West,Whitby,POINT (-78.94617016005525 43.87833391382038),-78.94617016005525,43.87833391382038
36616,9066554146,Whitby,Ontario,665745.04,4866391.54,11518,Animal Services Centre,L1N5R3,2019-05-10,,812910.0,Pet care (except veterinary) services,9056550283,whitby.ca,,,,,,L1N5R3,,"Animal services, pound, and shelter.",4680,Thickson,Road,North,Whitby,POINT (-78.93506111179792 43.93198621910233),-78.93506111179792,43.93198621910233
36617,,Whitby,Ontario,664451.98,4861437.87,9972,Ascs Canadian Signal,L1N7T8,2019-05-10,2019-08-22,334220.0,Radio and television broadcasting and wireless communications equipment manufacturing,9056653348,www.ascsignal.com,,,,,,,,designs and manufactures satellite and radar antennas and systems,606,Beech,Street,West,Whitby,POINT (-78.95268961872647 43.887703541502326),-78.95268961872647,43.887703541502326
