OBJECTID,Name,Address,Adresse,Telephone,Website,Classification,GlobalID,geometry,lon,lat
1,Giant Tiger,100 Prince Edward Street,"100, rue Prince Edward",(506) 635-8020,https://www.gianttiger.com/,Full,{A55A372E-BE33-4E57-8044-752010E1C936},POINT (-66.05428034326793 45.276229040970584),-66.05428034326793,45.276229040970584
2,Saint John City Market,47 Charlotte Street,"47, rue Charlotte",(506) 658-2820,https://www.sjcitymarket.ca/main.html,Partial,{90055FB3-837A-4190-875F-7C8BDD1A2FD2},POINT (-66.05993286476577 45.273911499714174),-66.05993286476577,45.273911499714174
3,Drew and Jen's No Frills,621 Fairville Boulevard,"621, boulevard Fairville",(506) 633-2256,https://www.nofrills.ca/store-locator/details/2714,Full,{F41526D1-84C4-4DDB-80C3-9F0340096691},POINT (-66.09340656461815 45.25478827435719),-66.09340656461815,45.25478827435719
4,Sobey's Saint John West,1 Plaza Avenue,"1, avenue Plaza",(506) 674-1460,https://www.sobeys.com/en/stores/sobeys-saint-john-west/,Full,{E9E56664-6CC6-4FDB-879D-18CCCA338B5B},POINT (-66.10204145175159 45.24912926048684),-66.10204145175159,45.24912926048684
5,Sobey's Lansdowne,149 Lansdowne Avenue,"149, avenue Lansdowne",(506) 652-4470,https://www.sobeys.com/en/stores/sobeys-lansdowne/,Full,{7773FEFF-9782-4270-BC3B-0F7AA60ED3AF},POINT (-66.07858523537442 45.279635600484234),-66.07858523537442,45.279635600484234
6,Atlantic Superstore,680 Somerset Street,"680, rue Somerset",(506) 658-6054,https://www.atlanticsuperstore.ca/,Full,{3F7263D0-6809-4303-9869-61BF39872BE7},POINT (-66.08385436820886 45.28956102103437),-66.08385436820886,45.28956102103437
7,Atlantic Superstore,168 Rothesay Avenue,"168, avenue Rothesay",(506) 648-1320,https://www.atlanticsuperstore.ca/,Full,{AA3CEA78-36BC-4CE4-828B-2F2DEC02A908},POINT (-66.04526780083035 45.287823583464636),-66.04526780083035,45.287823583464636
8,Sobey's,44 East Point Way,"44, voie East Point",(506) 633-1187,https://www.sobeys.com/en/stores/sobeys-east-point-store/,Full,{FD43129F-4018-47CE-8BCA-324289BFB577},POINT (-66.03059390357917 45.30388372525573),-66.03059390357917,45.30388372525573
9,Wal-Mart,450 Westmorland Road,"450, chemin Westmorland",(506) 634-6600,https://www.walmart.ca/en/stores-near-me/saint-john-east-supercentre-3091,Full,{15368D7E-B778-40E7-9787-95852C1D220C},POINT (-66.0194146896575 45.30816003041285),-66.0194146896575,45.30816003041285
10,On the Vine,1350 Hickey Road,"1350, chemin Hickey",(506) 657-8463,https://onthevine.ca/,Partial,{CE36FE53-49AA-488F-99B1-F33CC68F92A0},POINT (-65.99800708866648 45.3013645269856),-65.99800708866648,45.3013645269856
11,Costco,300 Retail Drive,"300, promenade Retail",(506) 635-5300,https://www.costco.ca/warehouse-locations/saint-john-NB-1055.html,Full,{A0DBB2D4-DB2C-46A8-9841-2EF790014C78},POINT (-66.02810300517847 45.30571608418837),-66.02810300517847,45.30571608418837
12,Korner Grocery,136 Princess Street,"136, rue Princess",(506) 632-1280,https://www.facebook.com/KornerGrocery,Partial,{0860FE63-467A-4614-87A8-D74765F4D77D},POINT (-66.05772333695882 45.271932715828186),-66.05772333695882,45.271932715828186
401,The Corn Crib Natural Foods,88 King Street,"88, rue King",(506) 642-2729,http://corncrib.ca/,Partial,{55574006-AE3D-43D5-B200-1069892C417A},POINT (-66.05942619843435 45.273207712516104),-66.05942619843435,45.273207712516104
402,Sam's Variety,160 Carmarthen Street,"160, rue Carmarthen",(506) 652-9000,,Partial,{6C6C29AD-2B12-42AF-A1A7-0234910DFE13},POINT (-66.05425530127489 45.27099108965632),-66.05425530127489,45.27099108965632
404,Shawn's Variety,131 Broad Street,"131, rue Broad",(506) 652-6942,,Partial,{776CA021-450A-4B3C-8EE7-FAB0547E0EC3},POINT (-66.05122073575775 45.26745466758659),-66.05122073575775,45.26745466758659
405,Prince William Food and Variety,175 Prince William Street,"175, rue Prince William",(506) 646-1819,,Partial,{8D667460-4A54-4D6C-BE19-AB1B502C0A44},POINT (-66.06157956238381 45.26996475634298),-66.06157956238381,45.26996475634298
