licence number,establishment name,location address line 1,location address line 2,location address  city,location postal code,licence type,licence subtype,capacity
304406,"""Cuckoo"" Trattoria Pizzeria",2310 Alberni Hwy,,COOMBS,V0R1M0,Food Primary,,565
145813,"""The Oakwood"" Canadian Bistro",2741 West 4th Ave,,VANCOUVER,V6K1P9,Food Primary,,100
300413,#12 (Vancouver) Service Batalion,5500 No. 4 Rd,,RICHMOND,V6X3L5,Liquor Primary,,210
184229,#9 RESTAURANT,812  5300 NO 3 RD,,RICHMOND,V6X2X9,Food Primary,,189
304745,0755 Restaurant & Lounge,Unit 2188 - 3779 Sexsmith Road,,RICHMOND,V6X3Z9,Food Primary,,283
164690,10 Acres Bistro & Bar & Market ,609 Courtney Street,,VICTORIA,V8W1B7,Food Primary,,225
019839,100 Mile House Curling Club,Airport Rd,,100 MILE HOUSE,V0K2E0,Liquor Primary,,94
303725,1029 Cafe,9231 Beckwith Rd.,,RICHMOND,V6X1V7,Food Primary,,81
306264,104 Sushi & Co,110 - 10422 168th St.,,SURREY,V4N1R9,Food Primary,,30
054119,108 Resort,108 Mile Ranch,,108 MILE RANCH,V0K2Z0,Food Primary,,858
104159,108 Resort,108 Mile Ranch,,108 MILE RANCH,V0K2Z0,Liquor Primary,,42
195226,110th Street Liquor Store,11004/11008 100 Ave,,FORT ST. JOHN,V1J4M7,Licensee Retail Store,,
302003,1181,1181 Davie Street,,VANCOUVER,V6E1N2,Liquor Primary,,59
195494,11th Ave Liquor Store,1352  11th Ave E,,PRINCE RUPERT,V8J2X1,Licensee Retail Store,,
083491,131 Water Kitchen & Bar,127 131 WATER ST,,VANCOUVER,V6B4M3,Food Primary,,140
306749,1423,1423 Ellis Street,,KELOWNA,V1Y2A3,Liquor Primary,,35
195249,14th Ave Pub Beer Wine & Liquor Store,32516 14th Ave,,MISSION,V2V2N7,Licensee Retail Store,,
030501,14th Avenue Pub,32516 14th Ave,,MISSION,V2V2N7,Liquor Primary,,120
305301,1500 Duncan Eatery,1500 Duncan Ave E,,PENTICTON,V2A2X6,Food Primary,,57
082591,1550'S RESTAURANT,1550 CEDAR HILL X RD,,VICTORIA,V8P2P4,Food Primary,,100
300432,15TH FIELD ARTILLERY REGIMENT ,2025 W. 11TH AVE,,VANCOUVER,V6J2C7,Liquor Primary,,235
116940,1609 Restaurant and Lounge ,148 Silver Lode Lane,,SILVER STAR MOUNTAIN,V1B3M1,Food Primary,,150
195193,17 Mile House Licensed Liquor Store,5126 Sooke Road,,SOOKE,V9C4C4,Licensee Retail Store,,
163660,18 BELOW,4900 GLACIER DR,RR  4,WHISTLER,V0N1B4,Food Primary,,165
300604,19 Wing Comox,Corner of Pritchard & Ryan Rd,,COMOX,V0R2K0,Liquor Primary,,1999
300603,19 Wing Sailing Club,Goose Spit Site,,COMOX,V0R2K0,Liquor Primary,,118
306988,1912 Lakeside Bistro,100 Alder Ave,,KALEDEN,V0H1K0,Food Primary,,132
195502,1st Avenue Liquor Store,243 - 2800 East 1st Avenue,,VANCOUVER,V5M4P1,Licensee Retail Store,,
303563,1st Beach Bar & Grill,5866B Beach Ave.,,PEACHLAND,V0H1X7,Food Primary,,50
305784,1st R.O.W. Estate Winery,104 - 2762 190th Street,,SURREY,V3S3W6,Manufacturer,Winery,0
101598,2 Guys Sushi & Seafood Grill ,15169 ROPER AVE,,WHITE ROCK,V4B5C9,Food Primary,,80
307388,2% Jazz Coffee,105 740 Hillside Ave,,VICTORIA,V8T1Z4,Food Primary,,15
184921,21 Steps Kitchen and Bar,10 4433 SUNDIAL PLACE,,WHISTLER,V0N1B4,Food Primary,,159
165803,28 Inn Beer & Wine Store,4545 10th Avenue,,NEW HAZELTON,V0J2J0,Liquor Primary,,113
194853,28 Inn Beer & Wine Store,4545 10th Avenue,,NEW HAZELTON,V0J2J0,Licensee Retail Store,,
304307,293 Wallace Street Restaurant,293 Wallace St,,HOPE,V0X1L0,Food Primary,,88
307506,3 Dogs Brewing,15222 North Bluff,,WHITE ROCK,V4B3E6,Manufacturer,Brewery,0
304032,3 G Vegetarian Restaurant,3424 Cambie St.,,VANCOUVER,V5Z2W8,Food Primary,,40
304800,3 Gringo's Fresh Mexican Grill,113 - 735 Goldstream Ave,,LANGFORD,V9B2X4,Food Primary,,26
307270,328 Taphouse & Grill,102-328 Wale Rd,,VICTORIA,V9B0J8,Food Primary,,298
305453,33 Acres Brewing Company,15 West 8th Avenue,,VANCOUVER,V5Y1M8,Manufacturer,Brewery,0
306278,33 Acres Cider Company,15 West 8th Avenue,,VANCOUVER,V5Y1M8,Manufacturer,Winery,0
306779,37 Grille,1530 Kitwanga Road North,,KITWANGA,V0J2A0,Food Primary,,40
307686,4 Quarters Restaurant,2744 Dunsmuir Ave,,CUMBERLAND,V0R1S0,Food Primary,,
303720,40 Knots Estate Winery,2400 Anderton Road,,COMOX,V9M4E5,Manufacturer,Winery,0
302280,41 Noodle & Rice Pot House,2279 41st Ave W,,VANCOUVER,V6M2A3,Food Primary,,40
300415,44th FIELD ENGINEER SQUADRON (Combined Mess),1990 7TH AVE,,TRAIL,V1R3C3,Liquor Primary,,500
307127,5 Star Catering Ltd. ,5640 188 Street,,SURREY,V3S4N5,Catering,,
305716,5 Tastes Chinese Bistro,2158 Western Pkwy,,VANCOUVER,V6T1V6,Food Primary,,84
306211,5-Forty Cafe & Grill,3190 Creekside Way,PO Box 1006,SUN PEAKS,V0E5N0,Food Primary,,69
304649,50th Parallel Estate,17101 Terrace View Road,,LAKE COUNTRY,V4V1B7,Manufacturer,Winery,0
301433,52 Ridge Restaurant,373 Clearwater Valley Road,,CLEARWATER,V0E1N0,Food Primary,,252
306203,54th Avenue Cafe Restaurant,7088 Kerr St.,,VANCOUVER,V5S4W2,Food Primary,,85
300618,"5th (BC) Field Artillery Regiment, RCA",715 Bay Street,,VICTORIA,V8T1R1,Liquor Primary,,180
303626,6 Degrees Bistro,Big White Mountain,5227 Big White Road,KELOWNA,V1P1P3,Food Primary,,52
304266,6 Degrees Eatery,1590 Coal Harbour Quay,,VANCOUVER,V6G3G1,Food Primary,,56
300414,6TH FIELD SQUADRON ALL RANKS MESS,1513 FORBES AVE,,NORTH VANCOUVER,V7M2Y4,Liquor Primary,,400
018547,6th Street Grill,413 6th Street,,NEW WESTMINSTER,V3L3B1,Food Primary,,82
306592,88 Grand Buffet,325-2339 Highway 97 N,,KELOWNA,V1X4H9,Food Primary,,202
094172,89 Inn Restaurant,6372 Fraser St,,VANCOUVER,V5W3A4,Food Primary,,86
195165,8st Liquor Store,48 Eighth Street,,NEW WESTMINSTER,V3M3N8,Licensee Retail Store,,
302675,8th Generation Vineyard Inc.,6807 Hwy 97,,SUMMERLAND,V0H1Z9,Manufacturer,Winery,0
306201,900 Degrees Woodfired Pizzeria,101-2401B Millstream Rd,,VICTORIA,V9B3R5,Food Primary,,68
306854,91 Restaurant,5818 BEACH AVE,,PEACHLAND,V0H1X7,Food Primary,,88
306716,@ Bangkok Modern Thai Cuisine,1813 Douglas St,,VICTORIA,V8T4K5,Food Primary,,50
301253,A & R Country Cellar U-Vin,#1-7385 Pioneer Ave,Box 611,AGASSIZ,V0M1A0,UBrew/UVin,,
302742,A Break In Time Caffe,1417 Canyon St.,,CRESTON,V0B1G0,Food Primary,,151
307140,A Frame Brewing Company,Bay 1 - 38927 Queens Way,,SQUAMISH,V8B0K9,Manufacturer,Brewery,0
202290,A Grape In Time,6  32559 Logan Ave,,MISSION,V2V6W8,UBrew/UVin,,
307187,A Lil' Taste of Home,Unit 1 - 520 Mackenzie Blvd,,MACKENZIE,V0J2C0,Food Primary,,75
305545,A Me Su,269 Barlow St.,,QUESNEL,V2J2B9,Food Primary,,46
021806,A TASTE OF INDIA RESTAURANT,1282 ROBSON ST,,VANCOUVER,V6E1C1,Food Primary,,50
206048,A TASTE OF TOKYO JAPANESE RESTAURANT,9842 RESTHAVEN DR,,SIDNEY,V8L3E6,Food Primary,,60
307587,A.M. Radio Cafe,711 Radio Ave,,NELSON,V1L3L2,Food Primary,,60
017433,A.N.Z.A. CLUBROOMS,3 W  8TH AVE,,VANCOUVER,V5Y1M8,Liquor Primary,Club,177
304704,AA Plus Restaurant ,5207 Victoria Dr,,VANCOUVER,V5P3V2,Food Primary,,29
008990,AARON'S PIZZA,17665  57TH AVE,,CLOVERDALE,V3S1H1,Food Primary,,48
119631,ABBOTSFORD RACQUETS CLUB,2550 YALE COURT,,ABBOTSFORD,V2S4N7,Liquor Primary,,102
133059,ABC COUNTRY RESTAURANT,101 - 15373 FRASER HWY,,SURREY,V3R3P3,Food Primary,,261
205600,ABC COUNTRY RESTAURANT (NANAIMO),6671 MARY ELLEN DR,,NANAIMO,V9V1T7,Food Primary,,196
117634,ABC COUNTRY RESTAURANT (RICHMOND),3580 NO  3 RD,,RICHMOND,V6X2C1,Food Primary,,212
146320,ABC Country Restaurant (Coquitlam),300 - 100 SCHOOLHOUSE RD,,COQUITLAM,V3K6V9,Food Primary,,158
144296,ABC FAMILY RESTAURANT (CRANBROOK),1601 CRANBROOK ST  N,,CRANBROOK,V1C3S7,Food Primary,,197
106842,ABC FAMILY RESTAURANT (LANGLEY),5978 GLOVER RD,,LANGLEY,V3A4H9,Food Primary,,262
195151,ABC Liquor Store (Alert Bay),287 - 291 Fir Street,,ALERT BAY,V0N1A0,Licensee Retail Store,,
195105,ABC Liquor Store (Vanderhoof),2351 Church Street,,VANDERHOOF,V0J3A0,Licensee Retail Store,,
195381,ABC Liquor Store - Gabriola Island ,Unit 3 - 377 Berry Point Road,,GABRIOLA ISLAND,V0R1X0,Licensee Retail Store,,
103176,ABERCORN INNS,9260 BRIDGEPORT RD,,RICHMOND,V6X1S1,Liquor Primary,,70
211173,ABSOLUTELY GRAPE,423 B PIONEER HILL DR,BOX 1313,PORT MCNEILL,V0N2R0,UBrew/UVin,,
009946,ADELPHI HOTEL,2101 QUILCHENA AVE,,MERRITT,V1K1B8,Liquor Primary,,116
158231,ADRIAN'S AT THE AIRPORT RESTAURANT,5385 216TH ST,,LANGLEY,V2Y2N3,Food Primary,,148
101692,ADRIENNE'S TEA GARDEN,5325 CORDOVA BAY RD,,VICTORIA,V8Y2L3,Food Primary,,86
120590,AINSWORTH HOTSPRINGS,#3609 Highway 31 ,,AINSWORTH HOT SPRINGS,V0G1A0,Food Primary,,200
087474,AIR CANADA - AIRCRAFT,VAN  INT  AIRPORT CENTRAL,,RICHMOND,V7B1K5,Liquor Primary,,
028534,AIR CANADA - MAPLE LEAF LOUNGE (DTB) ,"B3307, Gate C29, Level 3, Domestic Terminal",3211 GRANT MCCONACHIE WAY,RICHMOND,V7B1V1,Liquor Primary,,225
174871,AIR CANADA - MAPLE LEAF LOUNGE (International),"C3437.0, Gate D, Level 3, International Terminal",3211 GRANT MCCONACHIE WAY,RICHMOND,V7B1K3,Liquor Primary,,269
171451,AIR CANADA - MAPLE LEAF LOUNGE (Transborder),"C3698.01, Gate E84, Level 3, Transborder USA",3211 GRANT MCCONACHIE WAY,RICHMOND,V7B1Y1,Liquor Primary,,225
307658,AJ's Brooklyn Pizza Joint,325 Broadway E,,VANCOUVER,V5T1W5,Food Primary,,44
187785,AKARI JAPANESE RESTAURANT,7261 120TH ST,,DELTA,V4C6P5,Food Primary,,111
206184,AKASAKA JAPANESE RESTAURANT (MISSION),33227 1ST AVE,,MISSION,V2V1G7,Food Primary,,50
048991,AKI RESTAURANT,1368 Pender St. W.,,VANCOUVER,V6E4S9,Food Primary,,100
025161,ALBERNI GOLF CLUB,6449 CHERRY CREEK ROAD,,PORT ALBERNI,V9Y7L6,Food Primary,,135
036634,ALBERNI GOLF CLUB,6449 CHERRY CREEK ROAD,,PORT ALBERNI,V9Y7L6,Liquor Primary,,99
194440,ALEXANDER MACKENZIE HOTEL,403 MACKENZIE BLVD,,MACKENZIE,V0J2C0,Licensee Retail Store,,
067877,ALFA PIZZA (DELTA),1097 56TH ST,,DELTA,V4L2A2,Food Primary,,100
183026,ALIBI ROOM,157 ALEXANDER ST,,VANCOUVER,V6A1B8,Food Primary,,195
140019,ALL SEASONS CAFE,620 HERRIDGE LANE,,NELSON,V1L6A7,Food Primary,,80
030407,ALOHA LOUNGE & RESTAURANT,1501 102ND AVE,,DAWSON CREEK,V1G2E3,Liquor Primary,,35
160365,ALOHA LOUNGE & RESTAURANT,1501 102ND AVE,,DAWSON CREEK,V1G2E3,Food Primary,,75
101399,ALPINE PUB,6145 KELLY RD S,,PRINCE GEORGE,V2K4M7,Liquor Primary,,132
216611,AMANDA'S RESTAURANT,655 HWY 3A,,NELSON,V1L6M6,Food Primary,,72
106727,AMELIA RESTAURANT,538 SIXTH ST,,NEW WESTMINSTER,V3L3B5,Food Primary,,50
209117,AMICI MEDITERRANEAN RESTAURANT,1757 MARINE DRIVE,,WEST VANCOUVER,V7V1J5,Food Primary,,58
117441,AMIGO'S TACO SHOP,229 BRUNSWICK ST,,PRINCE GEORGE,V2L2B4,Food Primary,,80
104337,ANATOLI SOUVLAKI,5 LONSDALE AVE,,NORTH VANCOUVER,V7M2E4,Food Primary,,159
188349,ANCHOR INN (ARMSTRONG),3030 SMITH DR,,ARMSTRONG,V0E1B1,Food Primary,,57
188548,ANCHOR INN (ARMSTRONG),3030 SMITH DR,,ARMSTRONG,V0E1B1,Liquor Primary,,85
187660,ANCHOR INN (PRINCE RUPERT),1600 PARK AVE,,PRINCE RUPERT,V8J4P7,Liquor Primary,,68
175345,ANDIAMO'S PIZZA & PASTA HOUSE,1-20726 LOUGHEED HWY,,MAPLE RIDGE,V2X2R1,Food Primary,,24
065492,ANDREAS STEAK & LOBSTER FAMILY RESTAURANT,153 W  16TH ST,,NORTH VANCOUVER,V7M1T3,Food Primary,,168
035206,ANGLEMONT ESTATES GOLF & COUNTRY CLUB,7838 Golf Course Road,,ANGLEMONT,V0E1M8,Liquor Primary,,20
177280,ANH and CHI Restaurant,3388 Main Street,,VANCOUVER,V5V3M7,Food Primary,,116
134749,ANTON'S PASTA (BURNABY),4260 E  HASTINGS ST,,BURNABY,V5C2J6,Food Primary,,64
010312,APOLLO RISTORANTE AND STEAK HOUSE,1012 CRANBROOK ST  N,,CRANBROOK,V1C3S3,Food Primary,,395
172632,APOLLONIA RESTAURANT,1830 FIR ST,,VANCOUVER,V6J3B1,Food Primary,,34
128578,APPLE LANE RESTAURANT,3313 31ST AVE,,VERNON,V1T2H4,Food Primary,,84
003918,APRIL POINT LODGE,900 April Point Road,,QUADRA ISLAND,V0P1N0,Food Primary,,442
141101,APRIL POINT LODGE,900 April Point Road,,QUADRA ISLAND,V0P1N0,Liquor Primary,,50
112809,ARBUTUS CAFE,195 KENNETH ST,,DUNCAN,V9L1N5,Food Primary,,71
003939,ARBUTUS CLUB,2001 NANTON AVE,,VANCOUVER,V6J4A1,Liquor Primary,Club,664
025769,ARBUTUS CLUB,2001 NANTON AVE,,VANCOUVER,V6J4A1,Food Primary,,1119
033502,ARDMORE GOLF COURSE,930 ARDMORE DR,,SIDNEY,V8L5G1,Liquor Primary,,222
031065,ARMS PUB,3261 COAST MERIDIAN RD,,PORT COQUITLAM,V3B3N3,Liquor Primary,,202
063537,ARMSTRONG & DISTRICT CURLING CLUB,3315 Pleasant Valley Road,,ARMSTRONG,V0E1B2,Liquor Primary,Club,94
021937,"ARMY, NAVY & AIR FORCE VETERANS IN CANADA, # 100",2211 KINGSWAY,,VANCOUVER,V5N2T6,Liquor Primary,Club,168
087631,"ARMY, NAVY & AIR FORCE VETERANS IN CANADA, # 45",119 E  3RD ST,,NORTH VANCOUVER,V7L1E5,Liquor Primary,Club,227
032975,"ARMY, NAVY & AIR FORCE VETERANS IN CANADA, #298",3917 MAIN ST,,VANCOUVER,V5V3P3,Liquor Primary,Club,195
032734,"ARMY, NAVY & AIR FORCE VETERANS IN CANADA, #379",22326 NORTH AVE,,MAPLE RIDGE,V2X2J9,Liquor Primary,Club,75
208773,"ARMY, NAVY & AIR FORCE VETERANS OF CANADA, #97",257 BRUNSWICK,,PENTICTON,V2A5P9,Liquor Primary,Club,125
171597,ARROWSMITH GOLF & COUNTRY CLUB,2250 FOWLER RD,,QUALICUM BEACH,V9K2A5,Food Primary,,507
171760,ARROWSMITH GOLF & COUNTRY CLUB,2250 FOWLER RD,,QUALICUM BEACH,V9K2A5,Liquor Primary,,221
038322,ARTFUL DODGER NEIGHBOURHOOD PUB,2364 200TH ST,,LANGLEY,V2Z1W9,Liquor Primary,,208
191594,ARTFUL DODGER NEIGHBOURHOOD PUB,2364 200TH ST,,LANGLEY,V2Z1W9,Licensee Retail Store,,
034354,ARTS CLUB OF VANCOUVER THEATRE BUILDING,1585 JOHNSTON ST,,VANCOUVER,V6H3R9,Liquor Primary,,95
034349,ARTS CLUB REVUE THEATRE,1601 JOHNSTON ST,GRANVILLE ISLAND,VANCOUVER,V6H3R9,Liquor Primary,,225
188857,ASA Japanese Restaurant,2178 W 41st  Ave,,VANCOUVER,V6M1Z1,Food Primary,,50
134686,ASHCROFT & DISTRICT CURLING CLUB,610 7TH ST,BOX 586,ASHCROFT,V0K1A0,Liquor Primary,,124
005166,ASHCROFT RIVER INN,1st St & Railway,,ASHCROFT,V0K1A0,Liquor Primary,,125
086114,ASHCROFT RIVER INN,1st St & Railway,,ASHCROFT,V0K1A0,Food Primary,,237
133216,ASIA RESTAURANT,104 - 15551 FRASER HWY,,SURREY,V3S2V8,Food Primary,,52
030098,ASPEN GROVE GOLF COURSE,4555 LENO RD,,PRINCE GEORGE,V2N6E3,Liquor Primary,,122
175811,ASSINI PIZZA & RESTAURANT,109 15551 FRASER HWY,,SURREY,V3S2V8,Food Primary,,42
008172,ATHENE'S,3618 W  BROADWAY,,VANCOUVER,V6R2B7,Food Primary,,116
168275,ATLAS CAFE,250 - 6TH ST,,COURTENAY,V9N1M1,Food Primary,,107
091632,ATLIN RECREATION CENTRE,FOURTH & SINCLAIR,,ATLIN,V0W1A0,Liquor Primary,Club,302
208595,AU WING KEE RESTAURANT,5226 KINGSWAY,,BURNABY,V5H2E9,Food Primary,,55
173259,AUSTIN FISH HOUSE,1119 AUSTIN AVE,,COQUITLAM,V3K3P4,Food Primary,,50
017339,AUSTRIA VANCOUVER CLUB,5851 WESTMINSTER HWY,,RICHMOND,V7C1C3,Liquor Primary,Club,470
117881,AVOLA RESTAURANT,BOX 82,FRONTAGE RD,AVOLA,V0E1C0,Food Primary,,165
305112,Abbey Road Restaurant & Tap House,1851 Sumas Way,,ABBOTSFORD,V2S4L5,Food Primary,,256
026935,Abbotsford Curling Club,2555 McMillan Rd,,ABBOTSFORD,V3G1C4,Liquor Primary,Club,200
303423,Abbotsford Entertainment & Sports Centre,33800 King Road,,ABBOTSFORD,V2S7M8,Liquor Primary,,8916
192071,Abbotsford Liquor Barn,2520 Montvue Ave,,ABBOTSFORD,V2S3T9,Licensee Retail Store,,
204941,Abbotsford Wine & Brew,2 - 2015 Abbotsford Way,,ABBOTSFORD,V2S6X8,UBrew/UVin,,
187041,Aberdeen Glen Golf Course,1010 Clubhouse Dr,,PRINCE GEORGE,V2K5R7,Food Primary,,83
205746,Aberdeen Glen Golf Course,1010 Clubhouse Dr,,PRINCE GEORGE,V2K5R7,Liquor Primary,,54
195142,Aberdeen Inn Licensed Liquor Store,2319 Aberdeen Road,,LOWER NICOLA,V0K1Y0,Licensee Retail Store,,
039572,Aberdeen Inn Neighbourhood Pub,2319 Aberdeen Road,,LOWER NICOLA,V0K1Y0,Liquor Primary,,118
301160,Abigail's Hotel,906 McClure St.,,VICTORIA,V8V3E7,Food Primary,,35
305016,Absinthe Bistro,1260 Commercial Dr,,VANCOUVER,V5L3X4,Food Primary,,27
306157,Aburiya Sushi,101- 22590 Dewdney Trunk Rd,,MAPLE RIDGE,V2X3J9,Food Primary,,54
304634,Abyssinia Ethiopian Restaurant,7546 Edmonds Street,,BURNABY,V3N1B4,Food Primary,,28
301203,Ace Of Taste Chinese Restaurant,1344 Bay Ave,,TRAIL,V1R4A8,Food Primary,,55
303978,Acme Cafe,51 West Hastings St.,,VANCOUVER,V6B1G4,Food Primary,,48
304594,Acropolis Kuizina,A5/6 465 Merecroft Rd.,,CAMPBELL RIVER,V9W6K6,Food Primary,,160
306485,Action Play Cafe,340 Front St.,,TUMBLER RIDGE,V0C2W0,Food Primary,,50
304549,Adega on 45th Estate Winery,7311 45th St,,OSOYOOS,V0H1V6,Manufacturer,Winery,0
306505,Adelitas Traditional Mexican Food,5178 Victoria Dr,,VANCOUVER,V5P3V2,Food Primary,,25
208375,Adesso Bistro,1906 Haro Street,,VANCOUVER,V6G1H7,Food Primary,,130
021083,Admiral Pub & Grill,4125 E Hastings St,,BURNABY,V5C2J3,Liquor Primary,,250
305637,Adonia Tea House,2057 41st Ave W,,VANCOUVER,V6M1Y7,Food Primary,,25
063935,Adventure Centre,Panorama Village Resort,2035 Panorama Drive,PANORAMA,V0A1T0,Liquor Primary,,174
300707,Aegean Cafe,799 Fort St.,,VICTORIA,V8W1G9,Food Primary,,42
045675,Afghan Horsemen Restaurant,202 - 1833 Anderson Street,,VANCOUVER,V6H4E5,Food Primary,,164
307583,Afghan Kitchen,115-16120 24 Ave,,SURREY,V3Z0R5,Food Primary,,92
307216,After Dark Distillery Ltd.,1201 Shuswap Avenue,,SICAMOUS,V0E2V1,Manufacturer,Distillery,0
195347,Agassiz Liquor Store,1810 #9 Highway,,AGASSIZ,V0M1A0,Licensee Retail Store,,
182216,Agra Tandoori Restaurant,109 3790 Canada Way,,BURNABY,V5G1G4,Food Primary,,62
215581,Aijya Sushi,1822 WEST 4TH AVE,,VANCOUVER,V6J1M3,Food Primary,,30
076939,Air Canada Jazz,c/o 5520 Miller Road,,RICHMOND,V7B1L9,Liquor Primary,,
161154,Airport Cafe Gate 33,Terrace/Kitimat Airport,4401 Bristol Road,TERRACE,V8G1A1,Food Primary,,66
307242,Ajishou Japanese Cuisine,1610-4791 McClelland RD,,RICHMOND,V6X0M5,Food Primary,,88
210494,Ajuker Fried Chicken,101 - 508 Clarke Road,,COQUITLAM,V3J3X2,Food Primary,,26
307039,Aka Dake Sushi,2116 Columbia St,,ROSSLAND,V0G1Y0,Food Primary,,32
307541,Aka Sushi Japanese Casual Dining,103 - 18408  64th Ave,,SURREY,V3S1E9,Food Primary,,46
178807,Akane Japanese Restaurant,7A-20349 88 Ave,,LANGLEY,V1M2K5,Food Primary,,29
187544,Akasaka Japanese Restaurant,19175 122nd Ave,,PITT MEADOWS,V3Y2E9,Food Primary,,85
304170,Akasaka Japanese Restaurant  ,15110 101 Ave.,,SURREY,V3R7V4,Food Primary,,100
110953,Akbar's Own Dining Lounge,1905 West Broadway,,VANCOUVER,V6J1Z3,Food Primary,,72
213846,Akemi Sushi,737 Goldstream Ave,,VICTORIA,V9B2X4,Food Primary,,110
168846,Al & Jan's Fish & Chips,201 - 9014 - 152nd Street,,SURREY,V3R4E7,Food Primary,,53
177500,Al Fresco,3rd Floor,674 Granville Street,VANCOUVER,V6C1Z6,Food Primary,,50
004178,Al Porto Ristorante,321 WATER ST,,VANCOUVER,V6B1B8,Food Primary,,260
302638,Aladdin's Cafe,67 Victoria Cres.,,NANAIMO,V9R5B9,Food Primary,,10
305567,Alberello Pizzeria,115 15th St W,,NORTH VANCOUVER,V7M1R7,Food Primary,,46
191305,Alberni Liquor Store,2970 Alberni Highway,,PORT ALBERNI,V9Y8R3,Licensee Retail Store,,
003237,Alberni Valley Curling Club,3250 9TH AVE N,,PORT ALBERNI,V9Y4T2,Liquor Primary,Club,168
303118,Alberni Valley Multiplex - Catalyst Place,3737A Roger Street,,PORT ALBERNI,V9Y8J4,Liquor Primary,,2022
301304,Albreda Lodge,8190 Yellowhead Hwy # 5 South,,BLUE RIVER,V0E1J0,Food Primary,,210
306814,Alcan Smokehouse,932 102 Avenue,,DAWSON CREEK,V1G2B7,Food Primary,,184
185270,Alder Hills Golf,6011 Giscome Road,,PRINCE GEORGE,V2N6T4,Liquor Primary,,60
010045,Alder Inn Hotel,27214 Fraser Hwy,,ALDERGROVE,V4W3P8,Liquor Primary,,125
192469,Alder Inn Hotel,27214 Fraser Hwy,,ALDERGROVE,V4W3P8,Licensee Retail Store,,
192451,Aldergrove Liquor Store,26444 32 Avenue,,ALDERGROVE,V4W3E8,Licensee Retail Store,,
306336,Alderlea Farm & Cafe,3390 Glenora Road,,DUNCAN,V9L6S1,Food Primary,,30
300163,Alderlea Vineyards,1751 Stamps Road,,DUNCAN,V9L5W2,Manufacturer,Winery,0
133441,Alexander's Beach Pub,12408 Kalamalka Road,,COLDSTREAM,V1B1M7,Liquor Primary,,47
301434,Alexander's Beach Restaurant,12408 Kalamalka Road,,COLDSTREAM,V1B1M7,Food Primary,,168
195176,Alexander's Pub Liquor Store,12408 Kalamalka Road,,COLDSTREAM,V1B1M7,Licensee Retail Store,,
217395,Alexandra's Nanaimo Restaurant Ltd,21  2220  Bowen Rd,,NANAIMO,V9S1H9,Food Primary,,87
191123,Alfredo's Pub,4182  15th Ave,,PRINCE GEORGE,V2M1V8,Licensee Retail Store,,
025141,Alibi's Bar,1201  1st Ave,,PRINCE GEORGE,V2L2Y7,Liquor Primary,,184
068619,Alice's Restaurant & Lounge,728 Nicol Street,,NANAIMO,V9R4V1,Food Primary,,250
307606,Alicia's Flavours,200-45428 Luckakuck Way,,CHILLIWACK,V2R3S9,Food Primary,,52
301995,All India Restaurant,1186 - 1188 Davie St.,,VANCOUVER,V6E1N1,Food Primary,,83
307314,All India Restaurant ,6560 Main St,,VANCOUVER,V5X3G9,Food Primary,,72
303429,All Thai'd Up Restaurant,2636 Kingsway Ave.,,PORT COQUITLAM,V3C1T7,Food Primary,,36
301487,Allegra Restaurant & Coffee Bar,1225 B Cranbrook St. N.,,CRANBROOK,V1C3S6,Food Primary,,48
306267,Allegro Cafe,510  8th Avenue West,,VANCOUVER,V5Z1C5,Food Primary,,80
209138,Alleluia Cafe,188 - 8131 Westminster Highway,,RICHMOND,V6X1A7,Food Primary,,104
300988,Alpenhorn Bistro,1261 Main Street,,SMITHERS,V0J2N0,Food Primary,,157
160538,Alpenhorn Bistro & Bar,1261 Main St,,SMITHERS,V0J2N0,Liquor Primary,,112
300689,Alpha Sushi Bar ,120 - 1265 Granville Street,,VANCOUVER,V6Z1M5,Food Primary,,50
304845,Alpine Cabin,6400 Nancy Greene Way,,NORTH VANCOUVER,V7R4K9,Food Primary,,100
300882,Alpine Cafe & Catering Co.,8104 McKeever's Place,,WHISTLER,V0N1B8,Food Primary,,41
306290,Alpine Grind Coffee House & Eatery,2104 Columbia Ave.,,ROSSLAND,V0G1Y0,Food Primary,,45
302135,Alpine Marine Adventure Centre,2550 Beacon Ave.,,SIDNEY,V8L3Y3,Food Primary,,62
302017,Alpine Meadows Resort Restaurant,3338 Dunn Lake Road,,CLEARWATER,V0E1N0,Food Primary,,200
304264,Alta Bistro,UNIT 104 4319 MAIN ST,,WHISTLER,V0N1B4,Food Primary,,119
035431,Alternate Pub,6315 Cummings Rd,,PRINCE GEORGE,V2N5W3,Liquor Primary,,101
306523,Alumni Centre Cafe,6163 University Blvd.,,VANCOUVER,V6T1Z1,Food Primary,,129
189610,Alvin Garden Inc.,4850 Imperial St,,BURNABY,V5J1C4,Food Primary,,50
178278,Amarin Thai Restaurant,2903 31st Street,,VERNON,V1T5H6,Food Primary,,50
301316,Ambrosia,6910 Main St,,OSOYOOS,V0H1V3,Food Primary,,57
215671,Ambrosia Catering and Event Centre,638 FISGARD ST,,VICTORIA,V8W1R6,Food Primary,,200
306490,Ambrosia Restaurant & Lounge,3624 1st St. ,,NARAMATA,V0H1N0,Food Primary,,371
301852,Amica At Arbutus Manor,2125 Eddington Dr.,,VANCOUVER,V6L3A9,Food Primary,,325
