OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
42,18 294740 02 1W,Second Hand Shop,RETROSAURUS,540 CONCESSION ST  HAMILTON ON,2021/08/20 00:00:00+00
43,14 211458 06 1W,Second Hand Shop,SEWING BY KIM,563 BARTON ST E  HAMILTON ON,2021/08/14 00:00:00+00
44,18 293607 02 1W,Second Hand Shop,SOCIETY OF SAINT VINCENT DE PAUL HAMILTON WEST PARTICULAR COUNCIL,429 BARTON ST E  HAMILTON ON,2021/01/23 00:00:00+00
45,18 294904 02 1W,Second Hand Shop,SPORTS SWAPPERS INC,828 FENNELL AVE E  HAMILTON ON,2021/10/19 00:00:00+00
46,18 294408 02 1W,Second Hand Shop,STARSPARK COMPUTERS INC,169 KING ST E  HAMILTON ON,2021/07/20 00:00:00+00
47,18 293897 02 1W,Second Hand Shop,STEEL CITY DEALS,749 BARTON ST E  HAMILTON ON,2021/03/16 00:00:00+00
48,15 270513 05 1W,Second Hand Shop,TALIZE INC.,1400 UPPER JAMES ST  HAMILTON ON,2021/04/03 00:00:00+00
49,14 278151 06 1W,Second Hand Shop,VALUE VILLAGE CANADA INC,50 HORSESHOE CRES  FLAMBOROUGH ON,2021/09/17 00:00:00+00
50,15 176406 06 1W,Second Hand Shop,VALUE VILLAGE CANADA INC,840 QUEENSTON RD  STONEY CREEK ON L8G 4A8,2021/06/09 00:00:00+00
51,16 125834 05 1W,Second Hand Shop,VALUE VILLAGE CANADA INC,530 FENNELL AVE E  HAMILTON ON,2021/03/26 00:00:00+00
52,15 288088 05 1W,Second Hand Shop,VALUE VILLAGE CANADA INC.,120 PORTIA DR  ANCASTER ON L9G 0G1,2021/09/08 00:00:00+00
53,20 297969 00 1W,Second Hand Shop,YESTERDAY'S TOMORROW,299 JAMES ST N  HAMILTON ON L8R 2L4,2021/09/04 00:00:00+00
